,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
61,0337a,0535a,2,1,1,3,2,2,3,2,1,2,4,1,1,2,2,2,1,1,0
62,1534b,0561a,1,1,1,3,2,2,1,1,2,2,1,1,3,2,1,0,1,2,0
63,0557c,1343a,1,1,1,0,2,1,0,2,1,2,0,1,0,2,1,0,0,2,0
64,1236a,1319a,3,0,1,3,2,2,0,3,2,2,0,1,0,2,2,3,4,2,0
65,1328a,1546b,3,1,1,2,2,3,0,0,2,3,1,1,0,0,3,0,3,2,0
66,1511b,0355b,0,1,0,2,2,2,0,2,2,1,4,1,0,0,2,1,1,1,0
67,1382c,0555c,2,2,1,0,2,2,0,1,2,3,0,1,1,2,2,0,4,2,0
68,0471c,0873b,0,0,1,3,2,1,1,2,1,3,0,2,3,0,2,0,3,2,0
69,0431a,0403a,3,2,1,3,1,2,3,2,2,2,0,2,1,0,1,0,1,1,0
70,0321a,0530a,2,1,1,3,2,1,1,2,1,2,4,1,0,2,3,3,4,2,0
71,0496a,1406a,3,4,1,0,2,3,1,2,2,1,2,2,4,2,2,0,2,2,0
72,1365c,0411a,2,2,1,1,2,2,1,2,2,3,1,1,0,2,1,1,4,2,0
73,1210a,0347a,0,1,1,0,0,2,2,2,1,2,4,1,3,0,3,1,4,1,0
74,0379c,1442b,2,1,1,2,2,2,0,3,2,2,2,1,3,2,2,1,4,2,0
75,1501c,1125b,0,1,1,0,0,2,1,2,1,1,1,2,4,3,2,1,2,1,0
76,0333a,0540c,2,1,1,3,2,1,2,0,1,2,1,0,4,0,2,0,3,2,0
77,0596a,0950a,2,0,1,3,2,2,1,3,2,2,1,1,3,0,2,2,2,1,0
78,0396b,1430c,2,1,0,1,2,2,1,3,2,0,0,1,3,2,3,0,3,2,0
79,0355a,0518c,3,2,1,3,2,3,0,3,2,3,4,1,1,2,3,0,4,2,0
80,0496f,1255a,2,4,1,0,2,2,1,2,2,1,1,1,0,2,2,1,0,1,0
81,0451a,0414b,2,1,1,0,2,1,0,0,2,1,1,1,0,2,1,1,1,2,0
82,1196b,0489b,0,2,1,0,2,2,1,2,1,1,0,1,0,2,3,3,4,2,0
83,1567b,0324a,3,1,0,2,2,2,0,0,2,0,2,1,0,1,2,1,3,2,0
84,0576c,0491c,2,4,1,1,2,2,0,2,2,2,2,1,0,2,2,0,4,2,0
85,0445a,0314a,2,2,1,0,0,2,0,3,2,1,1,1,0,2,1,2,1,1,0
86,1504b,0547c,3,1,1,3,1,2,0,4,2,1,2,1,3,2,1,2,1,1,0
87,1429b,0510c,2,1,1,0,0,2,0,1,1,3,1,1,1,2,1,1,0,2,0
88,0496e,0537c,2,1,0,1,2,3,0,2,2,2,2,1,3,2,2,2,0,1,0
89,0322b,1383b,1,1,1,3,1,2,0,1,2,3,2,1,3,0,2,1,2,1,0
90,0379b,1378b,3,1,1,0,2,2,0,3,2,3,1,1,3,2,2,1,3,2,0
91,1487c,1219c,3,1,1,3,0,1,0,0,1,2,4,0,1,2,3,0,1,2,0
92,0477a,1495a,2,1,1,1,2,1,0,0,2,2,1,0,3,2,1,0,3,2,0
93,0429a,1477b,2,0,1,3,2,3,0,4,2,1,1,1,1,0,2,0,1,1,0
94,1284b,1495a,1,1,1,3,0,2,0,1,2,2,1,0,3,2,1,0,3,2,0
95,1531a,0570a,2,0,1,0,2,3,0,3,2,2,1,0,3,0,2,1,3,2,0
96,0334a,1443c,2,0,1,0,2,3,0,0,2,0,1,1,1,2,1,1,2,1,0
97,0422a,0459b,1,1,1,0,2,1,0,0,2,2,0,1,0,2,3,1,3,2,0
98,0403c,1408b,1,0,0,0,2,2,0,3,2,1,1,0,1,0,3,0,2,1,0
99,1468a,1230b,1,1,1,2,2,2,0,0,2,1,1,0,3,2,2,1,3,2,0
100,1391b,1240a,3,4,1,0,2,2,1,4,2,1,0,1,3,2,2,3,1,2,0
101,0924b,0455c,1,0,1,3,0,2,1,0,1,3,1,1,3,3,1,3,1,2,0
102,1545a,0318b,0,1,1,0,2,2,1,2,2,1,2,1,0,0,2,0,0,2,0
103,1314a,0340b,1,1,1,1,2,1,0,4,2,1,4,1,1,2,1,0,3,2,0
104,0532b,0323c,2,1,1,3,0,2,0,1,1,1,0,1,1,0,1,0,0,1,0
105,0547a,0581c,2,2,0,1,2,2,0,1,2,2,4,2,3,2,2,1,2,2,0
106,1386a,0552a,1,1,1,0,2,2,0,3,2,2,1,1,0,2,2,1,2,1,0
107,0405a,1036c,3,0,1,0,2,3,1,2,1,1,4,1,0,0,2,2,0,2,0
108,1302a,1344b,2,1,1,3,2,2,0,0,2,3,4,1,3,2,2,0,2,2,0
109,1236a,1194b,3,0,1,3,2,2,0,3,2,2,4,0,1,2,2,0,1,2,0
110,0441b,0311c,2,2,1,0,0,2,3,2,2,0,0,1,0,0,2,2,1,1,0
111,0579a,0353b,1,0,1,3,2,2,0,1,2,2,1,1,1,2,1,1,2,1,0
112,0379c,1517c,2,1,1,2,2,2,0,3,2,3,0,1,0,2,2,1,4,2,0
113,1497a,0347a,0,4,1,0,2,2,1,3,2,2,4,1,3,0,3,1,4,1,0
114,1477b,0344c,1,1,1,1,0,2,0,1,1,1,1,0,2,2,2,1,0,2,0
115,1547a,1358c,2,4,1,1,2,1,0,2,2,3,4,1,1,2,3,1,1,2,0
116,0334c,0380b,1,4,1,3,0,2,0,0,2,1,3,2,3,3,2,0,2,2,0
117,1501c,0315a,0,1,1,0,0,2,1,2,1,2,4,0,2,2,3,0,3,2,0
118,1362c,1268a,3,0,1,0,2,2,0,2,2,2,1,1,0,0,2,0,4,2,0
119,0411a,1544a,3,1,1,0,2,1,1,4,2,3,4,1,0,2,2,3,4,2,0
120,0521a,0556a,2,1,1,1,2,1,3,0,2,2,1,1,1,0,2,0,4,1,0
121,0517b,0564c,3,0,1,3,0,1,0,3,2,0,1,1,1,1,1,0,3,2,0
122,0368b,1449c,3,0,1,3,0,2,1,2,2,1,1,1,0,0,3,2,2,1,0
123,1488a,1284b,1,1,1,0,2,3,0,0,2,1,1,1,3,0,2,0,1,2,0
124,1243a,1468b,1,0,1,3,2,2,1,3,2,3,1,1,2,2,2,1,3,2,0
125,1353b,0392b,2,1,0,2,2,1,0,2,2,1,2,1,0,2,2,2,0,1,0
126,0411c,0405c,2,1,1,3,2,1,0,4,2,1,0,1,1,2,2,1,2,1,0
127,0532b,0313b,2,1,1,3,0,2,0,1,1,2,1,0,2,2,2,0,0,2,0
128,0539a,0544a,2,4,1,3,2,2,1,2,2,0,1,1,0,2,2,0,1,1,0
129,1123b,1271a,0,2,1,0,2,2,1,1,2,1,1,1,2,0,1,1,4,1,0
130,0379c,1237c,2,1,1,2,2,2,0,3,2,2,1,0,2,2,2,0,1,2,0
131,0333c,1210a,3,2,1,1,2,1,1,1,2,0,1,1,0,0,2,2,2,1,0
132,1450c,0525a,3,0,1,1,2,1,1,3,2,1,2,1,3,2,1,1,1,1,0
133,1454b,0515a,2,1,1,3,2,2,1,0,2,1,1,1,3,2,2,2,2,1,0
134,0340a,1422a,3,0,1,0,2,3,1,2,2,3,4,0,3,0,2,1,3,2,0
135,1485a,1303b,3,4,1,0,2,2,2,2,2,3,1,0,2,2,2,0,3,2,0
136,1383c,1392a,1,1,1,1,0,2,2,2,1,2,4,1,1,0,2,3,2,1,0
137,0927a,0440a,1,0,1,0,0,2,0,2,1,2,0,0,2,2,2,0,4,2,0
138,1391a,1165c,3,4,1,3,2,3,0,3,2,3,0,2,4,0,2,3,2,2,0
139,1302a,0592b,2,1,1,3,2,2,0,0,2,1,2,1,1,2,2,0,2,2,0
140,1230a,1516a,0,1,1,0,2,2,0,3,2,2,0,1,0,2,2,1,1,2,0
141,1375a,0538b,1,0,1,1,2,2,0,3,2,1,1,1,3,2,1,2,1,2,0
142,1356b,0311a,2,4,0,2,2,2,0,4,2,1,2,1,1,2,1,3,3,2,0
143,1554a,1147c,2,1,1,2,2,1,0,1,2,0,4,1,1,2,2,0,4,2,0
144,1517a,1227b,2,1,1,1,2,2,0,2,2,3,1,1,3,2,1,0,4,2,0
145,1546a,1308c,1,1,0,3,2,1,1,2,1,0,1,2,4,2,2,0,3,2,0
146,1565b,1107c,2,1,1,3,0,2,0,2,2,0,2,1,3,2,2,1,0,2,0
147,1545a,0531a,0,1,1,0,2,2,1,2,2,2,2,1,1,2,2,0,3,2,0
148,1489a,1362a,1,1,1,3,2,2,0,0,2,3,1,1,3,2,2,0,0,2,0
149,1521c,1234b,0,1,1,2,2,2,1,0,2,3,0,1,1,2,3,0,4,2,0
150,1513a,0483b,2,0,1,3,2,3,0,3,2,1,1,1,0,0,3,1,2,1,0
151,1516a,0461a,2,0,1,0,2,2,1,1,2,3,1,1,3,0,2,0,0,2,0
152,1286a,0516b,1,2,1,3,2,1,1,3,2,0,1,0,2,2,2,0,1,2,0
153,0338c,1521b,0,1,1,3,2,2,1,2,1,3,1,1,3,0,2,3,3,2,0
154,0440c,0892c,3,4,1,0,2,1,0,4,2,3,2,0,2,2,2,1,0,2,0
155,1129b,0449c,3,1,1,0,2,2,1,4,1,1,0,1,3,2,3,0,0,2,0
156,1382b,1335c,2,1,1,0,0,2,0,0,2,2,1,1,3,2,2,2,1,1,0
157,0306b,1350a,2,1,0,2,2,2,0,2,2,3,1,1,0,2,3,1,2,1,0
158,0350a,0866c,3,2,1,0,1,2,1,3,2,3,0,1,0,0,2,2,2,1,0
159,0419a,0550c,0,1,1,1,2,2,0,1,2,2,0,1,1,2,2,0,4,2,0
160,0473c,0376b,1,1,1,3,2,3,2,4,1,1,2,0,2,0,1,1,1,1,0
161,1491a,1547c,3,1,1,0,2,2,1,3,2,2,0,1,3,2,3,0,0,2,0
162,1450a,0924b,3,1,1,3,2,2,2,1,1,1,0,1,3,0,2,1,0,1,0
163,1119a,1343a,1,1,1,0,0,2,0,1,2,2,0,1,0,2,1,0,0,2,0
164,1391b,0451c,3,4,1,0,2,2,1,4,2,1,0,1,1,2,2,0,2,1,0
165,1508a,1383b,2,4,1,0,2,2,3,4,2,3,2,1,3,0,2,1,2,1,0
166,1490b,1447b,1,0,1,3,2,1,0,2,2,1,4,1,0,2,2,2,1,1,0
167,1512b,1552b,2,0,1,0,2,2,0,0,2,2,1,1,3,2,1,1,1,1,0
168,1460a,1442c,2,1,1,1,0,2,0,0,2,1,1,1,0,0,2,0,2,1,0
169,1432c,0459b,2,2,1,0,2,2,0,2,2,2,0,1,0,2,3,1,3,2,0
170,1229c,0304a,2,1,0,0,2,2,1,2,2,2,1,1,1,2,0,1,2,2,0
171,0375a,0359b,3,0,1,3,2,2,0,4,2,3,2,1,0,2,2,3,0,2,0
172,0537a,1465c,3,1,1,3,2,2,2,1,2,1,2,0,2,2,2,0,2,2,0
173,0324b,0387b,0,1,1,3,0,2,1,1,1,2,2,0,1,0,1,0,2,1,0
174,1366a,1405b,3,1,1,0,2,1,1,1,2,1,1,1,0,0,2,1,1,1,0
175,0496e,0351b,2,1,0,1,2,3,0,2,2,1,1,1,1,3,2,1,3,2,0
176,0472c,1484b,2,1,1,1,2,2,3,2,2,1,1,1,0,2,1,1,2,1,0
177,1124c,1103a,3,1,1,0,2,0,1,2,2,3,2,0,1,0,1,1,2,1,0
178,1294b,1155b,1,1,1,0,2,0,0,3,2,1,1,1,3,0,1,1,2,1,0
179,1488a,0396b,1,1,1,0,2,3,0,0,2,2,1,0,1,2,2,1,3,2,0
180,0474b,0923c,2,1,1,3,2,3,3,3,2,1,1,1,2,2,3,0,4,2,0
181,1450a,0866c,3,1,1,3,2,2,2,1,1,3,0,1,0,0,2,2,2,1,0
182,0896a,1366c,3,1,1,1,2,3,0,3,2,0,1,1,0,2,2,1,1,1,0
183,0593a,1507b,3,1,1,0,2,2,3,0,2,1,0,1,1,2,2,3,0,2,0
184,1416a,0472a,1,1,1,3,2,1,0,4,2,3,1,1,3,2,3,0,0,2,0
185,0474b,0311a,2,1,1,3,2,3,3,3,2,1,2,1,1,2,1,3,3,2,0
186,0345a,1501c,0,1,1,0,0,2,0,2,2,0,1,1,0,0,2,1,2,1,0
187,0331a,1174b,3,1,0,0,2,2,3,2,2,2,0,1,3,3,2,1,4,2,0
188,1402b,0540a,1,2,1,3,0,2,1,3,2,3,3,1,1,2,3,0,3,2,0
189,1423a,0352c,3,1,1,1,2,2,2,1,1,3,4,1,1,2,3,1,3,2,0
190,0318c,0313c,3,2,1,3,2,2,0,4,2,0,1,1,3,2,2,1,1,1,0
191,1350a,0316a,3,1,1,0,2,3,1,2,1,2,1,2,3,2,3,1,2,2,0
192,1513b,1140c,2,0,1,3,2,3,0,2,2,2,4,1,2,2,1,0,1,2,0
193,1432a,0445a,2,4,1,0,2,1,0,1,2,2,2,1,0,0,2,0,3,2,0
194,1360b,0440c,2,0,1,0,2,2,0,2,2,3,4,1,0,2,1,0,4,2,0
195,1341a,1325b,0,2,1,0,2,2,0,2,2,0,1,1,1,2,2,1,2,1,0
196,0373c,0473c,3,0,1,3,2,3,1,4,2,1,1,1,3,2,3,2,4,1,0
197,1090c,0471b,0,0,1,3,2,2,0,1,2,0,0,1,0,1,2,0,2,2,0
198,1432a,0567b,2,4,1,0,2,1,0,1,2,1,2,1,0,2,2,1,2,1,0
199,1230a,0396b,0,1,1,0,2,2,0,3,2,2,1,0,1,2,2,1,3,2,0
200,1282b,0570c,2,2,1,3,2,2,0,2,2,3,4,1,1,2,2,0,1,2,0
201,0564a,0483b,2,1,1,0,2,3,3,2,1,1,1,1,0,0,3,1,2,1,0
202,0522b,1155a,2,1,0,2,2,2,0,4,2,1,1,0,2,2,1,1,0,2,0
203,1543b,1134b,2,1,1,2,2,2,1,0,2,3,4,1,1,2,2,0,2,2,0
204,1121a,0373b,2,1,1,3,2,2,0,1,2,2,1,1,1,2,1,0,0,1,0
205,1475a,0892a,1,1,0,0,2,2,1,2,2,1,0,1,1,2,3,0,0,2,0
206,0381b,0352c,3,1,1,0,2,3,0,4,2,3,4,1,1,2,3,1,3,2,0
207,0321a,1555b,2,1,1,3,2,1,1,2,1,2,2,1,1,2,3,0,3,2,0
208,1146a,1323a,0,4,1,0,2,2,1,0,2,2,0,1,1,2,3,2,3,2,0
209,1531a,0421b,2,0,1,0,2,3,0,3,2,2,0,1,1,0,2,0,0,2,0
210,0375a,0451c,3,0,1,3,2,2,0,4,2,1,0,1,1,2,2,0,2,1,0
211,1486b,1164b,2,0,1,0,2,3,1,4,2,2,1,1,2,1,2,1,1,2,0
212,0348a,1178a,3,0,1,0,2,1,0,4,2,3,4,1,3,0,2,0,3,2,0
213,0411b,0365a,1,2,1,1,2,2,0,1,2,0,2,1,0,2,2,0,1,2,0
214,0463b,0522c,0,0,0,3,2,3,0,3,2,3,1,2,4,0,2,0,3,2,0
215,0544a,1408c,0,1,1,0,2,2,0,1,1,0,1,1,0,0,2,0,2,1,0
216,0581c,1036c,2,4,2,3,2,2,1,2,2,1,4,1,0,0,2,2,0,2,0
217,0379b,0577b,3,1,1,0,2,2,0,3,2,2,1,0,3,2,2,1,2,2,0
218,0458a,0316b,2,1,1,0,2,2,1,0,2,2,1,1,3,2,2,2,4,2,0
219,1517c,1140c,3,0,1,0,2,2,1,4,2,2,4,1,2,2,1,0,1,2,0
220,0556a,1363a,2,1,1,1,0,2,0,4,1,0,0,1,1,2,3,2,3,2,0
221,0434b,1257a,1,4,1,0,2,2,0,0,2,2,1,1,2,2,1,0,3,2,0
222,1328a,1555b,3,1,1,2,2,3,0,0,2,2,2,1,1,2,3,0,3,2,0
223,1483a,1180b,2,1,1,3,2,3,0,3,2,1,1,1,0,2,2,1,1,1,0
224,1421a,0897c,1,0,1,0,2,2,3,3,2,2,4,1,3,2,3,1,3,2,0
225,1212a,0385a,2,1,1,0,0,2,2,2,1,0,0,1,2,2,3,3,0,2,0
226,1458a,1319a,0,1,1,3,2,2,1,1,2,2,0,1,0,2,2,3,4,2,0
227,0550a,1471c,3,4,1,3,2,2,0,0,2,1,1,1,0,0,1,1,1,2,0
228,1268a,1430a,2,1,1,0,0,2,0,4,2,2,1,1,0,2,3,3,3,2,0
229,1176b,0456a,1,4,1,1,2,2,0,2,2,2,1,0,2,2,2,0,3,2,0
230,1152b,1417a,2,1,1,1,2,3,0,3,2,1,1,0,0,2,3,1,3,2,0
231,0969a,1099c,2,2,1,1,2,2,1,2,1,2,4,0,2,2,2,0,3,2,0
232,1358a,0316a,2,1,1,1,1,2,0,4,2,2,1,2,3,2,3,1,2,2,0
233,0370a,0510b,3,0,1,0,1,3,1,1,2,0,1,1,3,0,3,3,3,1,0
234,0488b,0317b,2,0,0,0,2,1,0,0,2,0,4,0,0,0,2,2,3,2,0
235,1153a,0459b,0,1,1,1,2,2,0,0,2,2,0,1,0,2,3,1,3,2,0
236,0449c,1533a,1,0,1,3,2,3,0,0,2,3,3,0,3,2,2,0,3,2,0
237,1134a,1245c,2,0,1,3,2,2,1,0,2,1,0,1,3,2,2,1,4,2,0
238,1540c,1140b,1,2,1,0,2,2,1,0,1,0,0,1,3,0,1,1,2,1,0
239,1134a,1224c,2,0,1,3,2,2,1,0,2,1,0,1,1,2,1,1,2,2,0
240,1234a,0538b,3,4,1,3,2,2,0,3,2,1,1,1,3,2,1,2,1,2,0
241,1378a,1465c,3,4,1,3,2,3,0,0,2,1,2,0,2,2,2,0,2,2,0
242,1343a,1430b,2,0,1,0,2,1,0,0,2,1,1,1,1,1,2,0,3,2,0
243,1513b,0489b,2,0,1,3,2,3,0,2,2,1,0,1,0,2,3,3,4,2,0
244,1237a,1549c,2,1,0,1,2,2,0,1,2,0,2,1,3,2,2,1,4,2,0
245,1497a,1099a,0,4,1,0,2,2,1,3,2,2,1,1,3,0,2,2,3,2,0
246,0413a,1212a,1,1,1,1,2,3,0,1,1,2,1,1,0,0,2,2,2,1,0
247,1534c,1262a,3,1,1,0,2,1,0,3,2,2,4,1,3,2,3,0,4,2,0
248,1486a,0461a,1,0,1,0,2,2,0,1,2,3,1,1,3,0,2,0,0,2,0
249,1366a,0969c,3,1,1,0,2,1,1,1,2,3,4,1,3,2,2,2,3,2,0
250,0344c,1361a,1,1,0,2,2,2,1,0,2,1,4,1,0,0,2,3,3,2,0
251,1493a,0551c,2,1,1,0,1,2,0,3,2,3,2,1,0,0,2,0,2,2,0
252,1405b,1122a,1,1,1,0,0,2,1,1,1,2,1,1,3,0,1,0,2,1,0
253,1358a,0375b,2,1,1,1,1,2,0,4,2,1,3,0,1,0,2,0,2,1,0
254,0318c,0530a,3,2,1,3,2,2,0,4,2,2,4,1,0,2,3,3,4,2,0
255,0318c,0357b,3,2,1,3,2,2,0,4,2,2,1,0,0,0,2,2,3,2,0
256,1323c,0469a,1,0,1,1,2,2,3,0,1,2,3,1,1,2,2,3,4,2,0
257,0319a,1282c,2,4,1,0,2,3,1,2,2,1,1,2,3,2,2,1,2,2,0
258,1393a,0485b,2,4,1,0,2,2,0,4,2,2,1,1,0,1,1,0,2,2,0
259,0421b,1485c,2,0,1,1,0,2,0,0,2,3,4,1,3,2,3,1,3,2,0
260,1432a,1282c,2,4,1,0,2,1,0,1,2,1,1,2,3,2,2,1,2,2,0
261,1444a,1146b,0,1,1,0,2,3,0,3,2,2,0,1,3,2,1,1,1,2,0
262,0585b,1165c,3,1,2,3,2,3,1,4,2,3,0,2,4,0,2,3,2,2,0
263,1350a,1361a,3,1,1,0,2,3,1,2,1,1,4,1,0,0,2,3,3,2,0
264,1243a,0354b,1,0,1,3,2,2,1,3,2,3,1,1,0,2,3,1,4,2,0
265,1429b,1504b,2,1,1,0,0,2,0,1,1,3,1,1,3,1,2,0,4,2,0
266,1491a,0562a,3,1,1,0,2,2,1,3,2,0,1,1,3,2,2,1,4,2,0
267,1178a,0555a,3,4,1,3,0,2,0,3,2,1,4,0,2,0,2,3,4,1,0
268,1361a,1422a,1,4,1,0,0,2,3,3,2,3,4,0,3,0,2,1,3,2,0
269,1366c,0916a,0,1,1,0,2,2,1,1,1,1,1,1,0,0,2,2,1,1,0
270,0473a,1181b,1,2,1,0,0,2,1,1,2,2,1,0,2,2,1,1,0,2,0
271,1538c,1311c,0,2,1,0,2,1,1,0,2,1,1,0,1,0,1,1,2,1,0
272,1245c,0333a,1,0,1,3,2,2,1,4,2,2,1,1,3,2,1,2,0,1,0
273,0431c,0323c,2,0,1,0,2,2,2,3,2,1,0,1,1,0,1,0,0,1,0
274,0349b,0373a,0,1,1,3,2,2,3,1,2,3,0,1,0,0,2,0,2,2,0
275,0355a,1501c,3,2,1,3,2,3,0,3,2,0,1,1,0,0,2,1,2,1,0
276,1367b,0413b,1,1,0,1,2,1,0,3,2,1,1,1,3,0,1,2,2,1,0
277,1171b,1538b,2,4,1,3,2,1,1,3,2,2,2,1,3,0,2,0,1,1,0
278,1252a,1219b,3,1,1,3,2,3,0,3,2,2,0,1,0,2,1,0,3,2,0
279,1477a,1511c,3,0,1,3,2,1,1,0,2,1,1,0,1,0,3,1,0,1,0
280,0496c,1567b,3,4,1,3,2,2,0,1,2,3,1,0,2,2,2,0,0,2,0
281,1234c,0304a,2,1,0,2,2,3,0,2,2,2,1,1,1,2,0,1,2,2,0
282,1508b,1240c,1,1,1,0,2,1,1,0,1,2,1,0,0,2,3,1,1,2,0
283,0337b,0387b,3,4,1,3,2,2,3,4,2,2,2,0,1,0,1,0,2,1,0
284,1483a,1176b,2,1,1,3,2,3,0,3,2,1,4,1,1,2,2,0,2,2,0
285,1497c,0594b,2,0,1,3,2,2,3,4,2,0,0,0,3,2,0,0,3,2,0
286,1518a,1237a,2,2,1,3,2,2,0,1,2,2,1,0,1,2,2,0,1,2,0
287,0538a,1303b,2,1,0,3,2,2,1,4,2,3,1,0,2,2,2,0,3,2,0
288,0488c,1181b,1,4,0,1,2,2,0,4,2,2,1,0,2,2,1,1,0,2,0
