,0,1,2,3,4,5,6,7,8,9,10,11
109,0561a,0321b,1,1,0,0,0,1,1,3,0,0
110,0381c,0592c,0,2,0,2,0,0,0,1,0,0
111,0321a,1547a,0,3,0,2,0,0,1,0,1,0
112,1364c,1146b,0,2,0,3,0,1,0,2,0,0
113,0597b,1402b,1,2,0,0,2,1,1,0,0,0
114,0537c,1319c,1,2,0,3,0,2,1,4,1,0
115,1240b,1319c,0,1,0,1,2,1,1,1,0,0
116,1430a,0368c,1,0,1,2,0,0,1,1,0,0
117,0555b,0374a,1,1,1,0,1,1,3,1,0,0
118,0516b,0518a,2,0,1,2,2,0,2,0,1,0
119,1164b,1422a,1,3,1,1,1,0,0,2,0,0
120,1362c,1176b,2,4,0,1,0,0,0,0,0,0
121,0440a,0434c,2,1,0,0,0,1,0,1,0,0
122,0555b,1533a,2,2,1,3,1,0,0,1,0,0
123,1350a,0489a,2,3,1,0,0,0,0,0,1,0
124,1377b,1392a,2,3,0,1,1,0,2,2,1,0
125,1323b,0564c,1,0,1,1,1,0,1,0,0,0
126,1201b,0580b,1,1,1,2,0,1,3,1,0,0
127,0357b,1443b,0,0,1,2,0,0,0,3,1,0
128,0537b,0312b,1,0,0,2,2,0,1,0,0,0
129,1253b,0312b,1,0,1,0,0,1,1,3,1,0
130,0421b,1383b,1,2,0,2,0,0,1,2,1,0
131,0413a,1540c,0,1,0,1,0,1,1,1,0,0
132,0421b,0488b,0,0,1,1,2,1,0,0,0,0
133,1309a,0567b,1,1,0,0,0,0,1,0,1,0
134,1513a,0440a,0,0,1,1,0,1,0,1,0,0
135,1426b,0562a,2,0,0,3,0,1,1,0,0,0
136,0567b,1222a,1,1,1,2,0,1,1,1,1,0
137,1494a,1173c,0,2,0,2,2,0,0,1,0,0
138,1236c,0350b,1,0,0,2,0,2,1,3,0,0
139,1129b,1099c,1,3,1,2,0,0,1,1,1,0
140,1494c,1406b,2,4,1,2,2,1,1,1,0,0
141,0353a,1221c,0,0,0,3,1,2,0,1,0,0
142,1443c,1140a,3,3,1,1,0,0,0,1,1,0
143,1417a,0327b,1,0,1,1,1,1,1,0,0,0
144,0373a,1348c,2,3,0,1,2,0,2,2,1,0
145,1513c,1323b,0,0,1,2,1,1,0,2,0,0
146,0577b,0396b,0,0,0,2,0,0,0,1,0,0
147,1416c,0376c,1,3,1,3,1,1,1,1,0,0
148,0892a,1358a,1,1,0,0,1,1,0,4,0,0
149,1468b,1234b,0,1,0,1,0,1,1,1,0,0
150,1540b,1551b,0,0,0,0,0,1,0,2,1,0
151,1282c,1294b,0,0,1,3,0,2,1,1,0,0
152,1131a,0950a,1,0,0,2,2,1,2,2,1,0
153,1362a,0334a,1,1,0,3,0,1,0,0,0,0
154,0491b,1408a,1,0,1,3,0,0,1,3,0,0
155,0587b,1363a,0,1,0,1,0,2,1,3,1,0
156,1123b,1494c,3,2,0,3,0,1,2,2,0,0
157,1334a,1461c,1,3,0,3,0,2,0,1,0,0
158,0318c,0537c,1,0,0,0,0,0,2,4,1,0
159,1134a,1294a,1,0,0,3,0,1,1,0,1,0
160,0575c,1330b,0,1,0,2,0,1,0,4,0,0
161,0306a,0969a,1,1,0,1,0,0,1,1,1,0
162,1204b,1422a,1,3,1,0,1,1,1,1,0,0
163,1383b,0385c,1,0,0,3,1,0,1,1,1,0
164,1350a,0421a,0,1,0,3,0,0,2,1,1,0
165,1409c,1273c,1,1,0,3,1,1,2,1,1,0
166,1300a,1341a,1,1,0,1,0,0,0,1,0,0
167,1234c,1036c,1,3,1,2,2,1,2,2,0,0
168,0563c,1259b,0,4,0,2,2,2,2,0,1,0
169,0375a,0593b,0,4,0,3,0,0,3,1,0,0
170,0324c,1476c,0,1,1,1,2,0,1,2,1,0
171,1122a,1098a,2,0,1,2,0,0,1,1,0,0
172,1243a,0456b,1,1,0,2,0,0,1,2,1,0
173,0579a,1433c,0,4,0,3,0,0,1,1,0,0
174,0516a,1409c,2,2,0,0,0,1,1,1,1,0
175,0492a,1210a,3,3,0,1,2,0,2,2,1,0
176,1193a,0594b,1,4,1,0,0,3,1,2,0,0
177,0404c,0520a,2,2,0,3,0,1,3,1,0,0
178,0367a,1518a,0,1,0,3,0,0,0,3,0,0
179,1444b,0366b,2,1,1,3,1,0,0,2,1,0
180,0507a,0317a,0,0,1,1,0,1,0,0,0,0
181,0594a,0314c,2,1,0,3,0,2,1,4,0,0
182,1174a,0340c,0,1,0,0,0,2,0,1,0,0
183,0474b,0537c,0,1,0,0,0,1,1,3,1,0
184,1243a,1538b,1,2,0,0,2,0,1,2,1,0
185,1231a,0314c,0,1,0,3,0,2,1,0,0,0
186,0544c,0455c,2,3,0,0,1,1,1,1,1,0
187,0338c,1201a,0,0,0,3,0,0,1,1,1,0
188,1343a,0555b,1,1,0,0,1,1,0,2,0,0
189,1513b,1146b,0,0,0,0,0,2,1,1,0,0
190,1476a,0457c,1,1,0,0,2,1,0,2,1,0
191,1496c,1533a,1,2,1,2,2,0,2,1,1,0
192,1382c,0373a,1,2,0,0,2,0,0,1,0,0
193,1563a,1220b,0,0,0,2,0,0,1,2,1,0
194,1099a,0593b,1,3,0,3,2,0,1,0,0,0
195,0488b,0366b,1,1,2,4,1,1,0,2,0,0
196,0517a,0315a,1,4,1,2,0,3,1,2,0,0
197,1545a,0592b,1,1,0,1,0,0,1,0,0,0
198,1257a,1365a,1,3,0,1,0,0,0,0,0,0
199,0372a,1552b,1,0,0,0,0,0,1,0,0,0
200,0575c,0492c,0,1,0,0,0,2,0,1,0,0
201,0421c,0328b,1,2,0,0,0,1,1,2,1,0
202,1447a,1461b,0,1,0,3,0,0,1,0,0,0
203,1544a,0556c,3,3,1,1,2,1,2,4,1,0
204,0514c,0556c,3,0,0,1,2,1,1,1,1,0
205,1490c,0389c,2,1,0,3,0,0,3,0,0,0
206,1430c,1212c,2,0,0,3,2,1,2,1,1,0
207,1364b,1152b,1,0,0,2,0,1,1,2,0,0
208,0412b,1508c,2,0,0,2,2,0,3,0,0,0
209,1430a,0488b,0,1,1,0,0,2,3,3,0,0
210,0386a,1140b,1,2,0,3,0,1,2,2,1,0
211,1510b,0354b,2,0,0,0,0,1,0,4,0,0
212,1267c,1521c,1,1,0,2,0,0,1,1,1,0
213,1171a,0570a,1,1,1,0,2,1,1,3,0,0
214,1155c,1125b,0,1,1,4,1,2,1,1,1,0
215,1240b,0473c,0,0,0,2,2,2,2,1,1,0
216,1409b,1219c,1,3,1,2,0,0,3,0,0,0
217,0411a,1477a,0,1,0,3,0,0,0,4,0,0
218,1219a,1303a,0,3,0,1,2,1,0,4,0,0
219,0491a,1221c,0,0,0,1,0,1,0,1,1,0
220,0896a,1240c,1,0,1,1,0,0,1,2,0,0
221,1323a,1108b,0,2,1,1,0,2,2,3,0,0
222,1426b,0458c,1,1,0,0,0,1,0,1,0,0
223,1391a,1140a,0,0,1,1,0,2,1,0,0,0
224,1484b,0518c,2,3,0,1,0,2,1,2,1,0
225,1383c,1259a,0,3,1,1,2,1,1,1,1,0
226,1411a,1429a,1,2,0,1,0,0,0,1,1,0
227,0458c,0363b,2,1,0,1,0,1,0,2,1,0
228,1086c,1500a,1,3,0,3,2,2,0,1,1,0
229,1129a,1371c,1,0,0,0,0,1,1,2,0,0
230,0535a,0358b,2,2,0,1,1,0,1,1,1,0
231,1432c,1547c,0,2,0,3,0,1,0,2,0,0
232,1485a,1196a,3,3,0,3,0,0,0,1,1,0
233,0969a,0366b,1,1,1,3,1,0,1,0,1,0
234,1229b,1461b,1,1,0,3,0,1,0,2,0,0
235,0567b,0507a,0,1,0,3,2,0,0,0,0,0
236,1091b,0351b,0,0,0,1,1,0,1,2,1,0
237,0485b,0916a,1,0,0,0,1,1,2,1,1,0
238,1430a,0434c,2,0,1,2,0,0,3,0,0,0
239,0537a,0536b,2,1,0,1,0,0,2,2,0,0
240,0600a,1134a,0,1,0,3,0,1,1,3,0,0
241,0549b,1224b,2,3,2,2,1,0,0,0,0,0
242,0538a,1406c,1,1,1,1,2,0,2,2,0,0
243,1446a,1454b,1,0,0,0,0,0,0,2,0,0
244,0449c,1240a,0,0,0,0,0,1,3,1,0,0
245,1370a,0456b,2,0,0,2,2,0,0,0,1,0
246,0363a,1221c,2,1,0,1,0,2,1,2,0,0
247,1197a,0569a,0,3,1,1,2,1,1,3,0,0
248,1520a,0338c,3,1,0,0,0,0,1,0,1,0
249,1381a,0315a,1,0,0,1,0,1,0,2,0,0
250,1540b,1320b,2,0,0,0,0,1,1,3,0,0
251,0461a,1441c,2,0,0,2,2,0,1,1,1,0
252,1227a,0507a,0,0,0,0,2,1,1,1,1,0
253,0458c,0431c,1,0,0,0,0,0,2,0,0,0
254,0440c,0405a,0,4,0,0,0,2,1,2,1,0
255,0593b,1477b,2,3,0,1,2,0,3,2,1,0
256,1123c,1533a,0,1,1,0,0,0,1,1,0,0
257,1330a,1409a,0,2,0,0,2,0,0,4,0,0
258,1208a,0941c,1,4,1,4,2,1,1,1,0,0
259,1343a,1217b,1,1,0,1,2,1,1,2,1,0
260,1502b,1334c,0,0,0,0,0,1,1,2,0,0
261,1303c,0538a,1,3,1,3,0,0,1,0,0,0
262,1496a,1217b,1,3,0,0,2,1,1,2,1,0
263,1122a,0892c,1,1,1,1,2,1,1,2,1,0
264,0321b,0911c,1,2,1,0,0,1,2,2,0,0
265,0379b,0531b,1,1,0,3,0,1,0,1,0,0
266,1394c,1125b,2,1,1,4,1,0,2,0,0,0
267,1487a,0539c,0,0,0,3,0,1,3,2,0,0
268,1563a,1303b,3,0,1,1,0,1,0,3,0,0
269,1099a,1155b,1,0,0,0,0,1,1,1,1,0
270,0334c,1506a,1,3,1,0,0,0,1,0,0,0
271,0373b,1484c,1,0,0,1,2,0,2,2,0,0
272,1257a,1086c,0,0,0,1,2,0,1,1,1,0
273,0414a,0334a,1,2,0,0,0,1,0,2,0,0
274,0592b,1097a,2,0,0,1,0,0,0,2,0,0
275,0475a,0888c,0,0,0,2,2,0,0,3,1,0
276,1416a,1240a,0,1,0,0,0,1,3,3,0,0
277,1413a,0457c,2,1,0,1,2,1,0,2,0,0
278,0396b,1414c,1,1,1,0,1,1,0,1,1,0
279,1502b,1164a,1,3,1,1,0,1,1,3,0,0
280,0539a,0560b,2,3,0,3,0,0,0,2,1,0
281,1451c,0431c,2,0,0,0,0,0,2,3,0,0
282,0892c,1152a,0,2,0,0,0,1,1,2,0,0
283,1431c,0440c,0,3,0,3,0,2,1,0,0,0
284,1274a,0560b,1,0,0,1,0,0,1,3,1,0
285,1180b,1551a,1,0,0,0,0,0,2,2,1,0
286,1123c,0537b,1,3,1,0,2,0,0,0,0,0
287,1134a,1240b,1,1,0,2,2,1,1,3,0,0
288,1518c,1465b,2,0,0,1,0,0,1,1,0,0
289,1143c,0376c,1,0,1,0,2,0,1,2,0,0
290,0520a,0549b,2,3,1,2,0,2,0,1,0,0
291,1243a,0349b,1,1,0,0,0,0,2,2,0,0
292,1377b,0546b,3,0,0,3,0,1,1,1,0,0
293,1533b,1480c,1,0,0,1,0,1,1,2,0,0
294,0458b,1504b,0,1,0,0,1,0,1,1,0,0
295,0318b,0327a,2,1,0,1,2,2,0,4,0,0
296,1090a,1164a,0,1,1,1,0,0,1,0,1,0
297,0338c,0340b,1,3,0,2,0,1,1,1,1,0
298,1282b,0477b,0,1,0,2,0,1,0,0,0,0
299,0354a,1443c,2,0,0,3,0,0,1,2,1,0
300,0324b,1409c,0,1,0,3,0,0,0,1,0,0
301,0336a,1551b,0,1,0,3,0,1,0,2,1,0
302,0532b,0525a,1,1,0,0,2,1,1,0,0,0
303,1248a,1352a,0,1,0,2,0,0,0,0,0,0
304,1135b,1482a,1,3,0,3,0,1,2,0,0,0
305,0522b,0352c,1,3,1,1,0,1,1,1,0,0
306,1144c,1201b,1,1,0,2,0,2,0,4,0,0
307,0381b,1451c,3,1,0,0,0,1,0,4,0,0
308,0544a,1538a,1,0,0,3,0,1,1,1,0,0
309,0472a,1193a,2,3,0,0,0,0,1,1,0,0
310,1413a,1253a,1,1,0,1,0,1,3,1,0,0
311,0491c,1243a,1,2,0,3,0,0,1,1,0,0
312,0544b,1442b,0,1,0,0,0,1,1,4,0,0
313,1417c,1294a,0,1,0,3,0,1,1,2,0,0
314,0535a,0323b,1,4,1,0,2,1,1,0,0,0
315,1552a,0496e,1,1,1,0,0,1,1,1,0,0
316,0587a,0324a,1,1,0,2,1,0,1,3,0,0
317,0331b,1402a,1,0,0,1,0,1,0,3,0,0
318,0474b,1504a,1,1,0,2,0,2,0,3,0,0
319,0537b,1114a,0,0,1,0,0,0,1,4,1,0
320,1533b,1208a,1,4,0,0,2,1,0,2,0,0
321,1520a,0335b,0,2,0,3,0,0,1,1,0,0
322,1124c,0440a,1,1,1,2,0,2,1,2,0,0
323,0551c,1409b,2,1,0,3,2,1,3,1,0,0
324,1311c,0302b,1,1,2,3,3,2,2,2,1,0
325,1451c,0896a,3,1,0,1,0,1,0,3,0,0
326,0422a,0896a,2,0,0,1,0,2,0,3,0,0
327,1465a,0594c,3,0,1,4,0,0,3,1,0,0
328,0307b,0345a,3,1,0,0,2,0,1,0,0,0
329,0496e,1449c,1,0,1,1,2,0,2,0,1,0
330,1382a,0531b,0,0,0,3,0,1,1,1,0,0
331,1328a,1471c,2,0,0,2,2,2,1,1,0,0
332,0562a,0338a,2,3,0,3,0,1,1,3,0,0
333,0301a,0518c,2,4,0,1,0,1,1,0,0,0
334,1236c,0563a,0,0,0,0,2,1,0,1,1,0
335,0456a,0375b,1,2,0,1,2,0,0,1,1,0
336,1134a,0335b,1,4,0,3,0,0,0,1,0,0
337,1432c,1146b,0,2,0,3,0,1,1,1,0,0
338,0516a,0556c,2,1,1,1,0,0,1,3,1,0
339,1565a,1370b,1,4,0,3,0,0,0,2,0,0
340,1486a,1554a,1,1,0,2,0,1,0,0,0,0
341,1303c,0535a,1,0,0,1,0,0,2,3,1,0
342,1268a,1511b,2,0,1,2,2,0,0,2,0,0
343,0536a,1107c,2,1,0,3,0,1,1,4,0,0
344,1496a,0464a,1,4,0,2,0,2,1,4,0,0
345,1365b,1358c,3,0,0,2,0,1,0,1,0,0
346,0569c,1096a,1,0,0,1,0,1,3,1,0,0
347,0355c,1336b,2,0,0,2,0,2,0,3,0,0
348,1320a,1352b,1,0,0,0,0,1,2,2,0,0
349,1431c,1152a,0,3,1,1,0,2,1,2,0,0
350,0359a,1552c,1,0,0,1,0,1,1,1,0,0
351,1468b,0327b,3,0,0,1,1,0,1,0,0,0
352,1222c,0546b,3,0,0,3,1,1,1,1,1,0
353,1475a,0352c,2,3,1,1,0,1,0,1,0,0
354,0445a,0352c,1,2,0,1,2,1,1,0,0,0
355,1482b,1411c,1,0,0,0,0,1,1,2,0,0
356,1121a,0560c,1,0,0,3,0,1,1,1,0,0
357,1180b,1547b,1,1,0,1,0,1,1,1,1,0
358,1311c,0439a,2,0,2,3,2,1,2,0,1,0
359,0570a,1259b,1,1,1,0,2,1,1,1,1,0
360,1444b,1090a,1,0,0,0,0,1,0,1,0,0
361,0411b,0334a,1,2,0,1,0,1,0,1,0,0
362,1219b,1513c,1,1,0,0,1,1,1,2,0,0
363,0520a,0323b,1,4,1,1,2,2,2,2,1,0
364,1243a,1476a,0,1,0,3,0,1,1,2,1,0
365,0547a,0387a,2,1,0,1,2,1,2,1,0,0
366,0458a,0451b,0,0,0,3,2,0,0,2,1,0
367,0594a,1394c,0,0,0,0,0,0,2,2,1,0
368,1178a,0563c,2,0,0,2,0,1,0,1,0,0
369,1510b,1442c,0,0,0,0,2,0,1,2,1,0
370,1431a,0344c,2,0,1,1,0,1,2,0,0,0
371,1330a,1149c,2,1,0,0,0,1,3,3,0,0
372,1323c,1414c,0,0,0,0,1,1,2,2,0,0
373,0560c,1442c,0,0,0,0,2,1,1,2,1,0
374,1458a,1171b,2,3,0,0,0,1,0,2,0,0
375,1171a,0441b,1,0,0,3,2,1,3,2,0,0
376,0349b,1367b,1,0,1,2,0,1,3,2,0,0
377,0516a,0535c,1,2,0,3,2,2,3,0,0,0
378,1405b,1477b,0,0,0,1,0,0,1,0,0,0
379,1378a,0873b,0,4,1,0,2,1,0,3,0,0
380,1129a,1508b,2,0,0,0,0,1,2,1,1,0
381,0457c,0473c,1,1,0,3,2,1,2,1,1,0
382,0458a,0411b,1,1,0,1,0,0,1,1,0,0
383,1137b,0521a,1,0,0,2,0,0,3,0,0,0
384,1219b,1551b,1,1,0,0,0,0,1,2,1,0
385,1261b,1442c,2,3,0,0,2,0,0,0,1,0
386,1546a,0390c,1,1,1,3,1,1,0,1,1,0
387,0503a,1554c,1,1,0,3,0,1,1,1,0,0
388,1405b,0859a,1,1,0,3,2,2,1,2,1,0
389,1329c,1417a,1,0,1,0,0,1,2,3,0,0
390,1240b,1294b,0,0,0,1,2,1,0,0,0,0
391,1432b,0441b,1,1,0,0,1,0,2,2,0,0
392,1483c,1409c,1,1,0,1,0,1,1,1,0,0
393,0441b,0469c,0,2,0,1,0,0,0,2,1,0
394,1450b,1350c,1,2,0,0,2,2,2,2,1,0
395,1323b,1198a,2,1,2,2,0,1,1,1,0,0
396,0522b,1484c,1,0,1,2,2,1,2,2,1,0
397,1375b,0489c,0,3,0,2,0,0,1,1,1,0
398,1374b,0373b,1,0,0,1,0,1,2,2,0,0
399,1252a,1146b,1,1,0,0,0,2,1,2,0,0
400,0550c,0353b,0,1,0,0,0,1,1,2,1,0
401,1086b,0859a,2,1,0,2,0,2,1,3,1,0
402,1517a,0335a,1,0,0,1,0,0,1,2,0,0
403,1538a,0463a,0,0,0,3,2,0,2,2,1,0
404,1149c,1294c,2,1,0,0,0,2,2,3,0,0
405,1552a,1544a,0,4,0,1,0,0,2,3,0,0
406,1371c,1217b,1,0,0,1,2,1,1,1,1,0
407,1336a,0563c,1,3,0,1,2,1,0,2,0,0
408,1567c,1309c,1,3,1,3,2,1,0,0,1,0
409,1180c,0421a,1,2,0,3,0,0,3,0,0,0
410,0507a,1197c,0,1,0,3,0,0,1,2,1,0
411,0405c,0328b,1,2,0,0,0,1,1,1,1,0
412,0363a,0337c,3,4,0,0,0,1,0,2,0,0
413,1452b,1341a,1,2,0,3,0,0,0,0,0,0
414,1501c,0587c,1,3,1,3,2,1,0,1,1,0
415,1296c,1552c,2,0,0,2,2,1,0,3,0,0
416,0600a,1303c,1,3,0,0,0,1,0,1,0,0
417,1451a,1562b,0,2,0,3,2,0,0,2,0,0
418,0458b,0338c,3,1,0,0,0,0,0,1,1,0
419,1323b,1475c,2,0,1,1,2,0,2,1,0,0
420,1220b,0564b,2,1,0,1,2,1,0,1,0,0
421,1528c,1146a,0,3,0,3,0,0,1,0,0,0
422,0306b,0449c,1,1,1,1,0,1,0,2,0,0
423,1544a,0522c,0,3,1,4,2,0,3,1,0,0
424,1394a,0593a,1,0,0,3,0,0,2,1,1,0
425,1442a,1221c,1,1,0,0,0,2,0,2,0,0
426,1416c,0354c,0,4,1,2,2,2,2,2,0,0
427,0544a,1421b,3,0,0,3,0,0,2,1,0,0
428,0435b,1487c,1,0,1,1,2,1,1,0,1,0
429,0321b,0323c,2,2,0,2,2,1,1,4,1,0
430,1557a,0911c,0,3,0,0,1,1,3,1,0,0
431,0377a,0338c,1,3,0,2,0,0,1,1,1,0
432,0584a,1341a,1,1,0,1,0,0,0,2,0,0
433,0314b,0365a,0,2,0,0,0,0,0,1,0,0
434,1091b,1501b,2,0,0,2,0,1,1,1,0,0
435,0347b,0302b,1,1,2,4,3,1,1,4,1,0
436,1135b,1252c,2,1,0,0,0,1,0,0,1,0
437,1257a,1495c,1,0,0,2,2,1,1,1,1,0
438,1442a,1146c,0,2,0,3,0,0,1,3,0,0
439,0372b,0450b,0,1,1,2,1,0,1,0,1,0
440,0550b,1551a,3,1,0,0,0,0,3,1,0,0
441,0464a,1414b,1,4,1,3,2,2,0,1,1,0
442,1465a,1343c,3,4,0,1,0,1,3,1,1,0
443,1484c,0453c,0,0,0,2,0,0,1,0,0,0
444,1341a,1511b,0,1,1,2,0,0,0,0,0,0
445,0331b,1352b,1,0,0,3,0,0,2,1,0,0
446,0421b,1348c,1,3,0,0,2,0,2,0,1,0
447,0376b,0366b,2,1,2,2,3,1,1,1,1,0
448,1455a,1510a,2,0,0,0,0,1,1,1,0,0
449,1363a,0469b,3,2,0,1,2,1,1,2,1,0
450,1391b,1497a,3,0,0,0,0,0,0,1,0,0
451,1234b,0517c,2,1,0,2,2,1,3,2,1,0
452,0414a,1450b,1,0,0,3,0,1,0,1,0,0
453,0440c,1273c,2,3,0,3,1,0,3,3,0,0
454,0424a,0587a,0,1,0,1,0,0,2,1,0,0
455,0532b,1496a,0,3,0,2,2,1,0,3,1,0
456,1405b,1194c,1,0,1,1,2,0,1,2,1,0
457,1267b,1262a,0,2,0,1,0,1,0,3,0,0
458,0354b,1485b,3,0,0,3,0,2,0,2,1,0
459,0379b,1394a,1,0,0,3,0,0,1,2,1,0
460,1485c,1090a,1,4,0,2,0,2,1,2,1,0
461,0432a,0510c,0,1,0,2,0,1,0,2,0,0
462,0381c,0547c,0,2,0,0,0,2,2,1,1,0
463,0365a,1431a,3,1,0,3,0,1,3,1,0,0
464,0413a,1485c,2,3,0,2,0,0,1,2,1,0
